"number","fleet","headway.min","planned.buses","headway","ewt.v","simulation.fitness","ewt.a","headway.max","buses","headway.observed","hcv","line"
1,50,180,43,907.250523463869,2553.18832224098,-255.191514190252,87.4285016545869,1200,16,941.939227328379,0.448522083118383,"T31s"
2,50,180,43,1156.36948687846,2521.59601346157,-252.223019123218,92.1479586197331,1200,40,1199.74252790894,0.370216665375919,"T31s"
3,50,180,43,319.164842248764,2327.95668574733,-232.315036073402,62.4261953166427,1200,15,330.60405891672,0.651884390730509,"T31s"
4,50,180,43,821.952810327012,2524.31085678319,-252.295362923595,80.2509782161179,1200,36,848.500972690246,0.451538700262906,"T31s"
5,50,180,43,278.714654967423,2786.14385012512,-278.173687933286,61.7874069073075,1200,45,290.719192770954,0.689134585155149,"T31s"
6,50,180,43,587.160551223263,3178.18395248034,-317.620992339901,74.3958667421552,1200,48,609.079976622969,0.525121859950448,"T31s"
7,50,180,43,706.678233579259,4740.93314792027,-473.883949076424,93.8120436588429,1200,24,729.373669694285,0.534564477106578,"T31s"
8,50,180,43,765.026428872955,2893.06939322879,-288.952681055013,81.4005760185375,1200,1,788.859954921772,0.468237879906574,"T31s"
9,50,180,43,573.629705337992,3582.21261147756,-357.913854371107,81.9021716681873,1200,19,592.458855622361,0.574439398153134,"T31s"
10,50,180,43,409.890707620146,3969.02663189206,-396.53424616881,77.5961021704304,1200,37,422.990510119332,0.633253664104921,"T31s"
11,50,180,43,587.882617463387,2749.3370350913,-274.866796144966,76.7694207127578,1200,50,609.530313544182,0.548379386116434,"T31s"
12,50,180,43,649.39121592074,2464.54004707227,-246.221156957497,76.673342066151,1200,44,671.343205819021,0.519859640142615,"T31s"
13,50,180,43,189.131850937315,54061.3944907549,-5405.68271515549,122.650764612411,1200,44,205.414381861081,0.868497650277764,"T31s"
14,50,180,43,471.114652199889,4079.23043564313,-407.586237456696,77.3476808904861,1200,31,487.2318973687,0.610334736505169,"T31s"
15,50,180,43,930.388327872144,3966.37282399102,-396.575084059392,96.6515790591052,1200,35,963.058680433253,0.462496509855747,"T31s"
