generation,fitness
1,-2276.6157194573225
2,-2276.6157194573225
3,-2051.231403226332
4,-2051.231403226332
5,-2051.231403226332
6,-1538.520497198995
7,-1538.520497198995
8,-1254.3381047758526
9,-1538.520497198995
10,-1538.520497198995
11,-1538.520497198995
12,-1538.520497198995
13,-1538.520497198995
14,-1538.520497198995
15,-1538.520497198995
16,-1538.520497198995
17,-1922.073554548602
18,-1922.073554548602
19,-1922.073554548602
20,-1922.073554548602
21,-1878.589021315273
22,-1878.589021315273
23,-1878.589021315273
24,-1878.589021315273
25,-1878.589021315273
26,-1878.589021315273
27,-1831.802674795974
28,-952.548513132982
29,-952.548513132982
30,-952.548513132982
31,-1844.8161197804823
32,-2042.0339457171847
33,-2352.6951389608853
34,-1484.246579183475
35,-1657.7262660574654
36,-1657.7262660574654
37,-1657.7262660574654
38,-1572.4627047533425
39,-1684.762607817795
40,-1507.5119715851786
41,-1507.5119715851786
42,-1045.5974838271297
43,-1507.5119715851786
44,-1507.5119715851786
45,-1507.5119715851786
46,-1507.5119715851786
47,-1507.5119715851786
48,-1507.5119715851786
49,-1535.4919671499947
50,-1535.4919671499947
51,-1839.2766578912028
52,-1839.2766578912028
53,-1839.2766578912028
54,-1839.2766578912028
55,-1614.7369619392537
56,-1614.7369619392537
57,-1614.7369619392537
58,-2009.8008264248847
59,-2009.8008264248847
60,-1607.4765831041398
61,-2275.2752392253424
62,-2275.2752392253424
63,-1641.4193552205063
64,-1641.4193552205063
65,-1641.4193552205063
66,-1641.4193552205063
67,-1641.4193552205063
68,-1641.4193552205063
69,-1656.38254606849
70,-1656.38254606849
71,-1656.38254606849
72,-1656.38254606849
73,-1656.38254606849
74,-1656.38254606849
75,-1484.0293525051434
76,-1484.0293525051434
77,-1878.0309394283597
78,-1878.0309394283597
79,-1878.0309394283597
80,-1878.0309394283597
81,-1760.7051680772777
82,-1878.0309394283597
83,-1878.0309394283597
84,-2048.7489918927126
85,-2048.7489918927126
86,-2060.39054793381
87,-2060.39054793381
88,-2060.39054793381
89,-1703.438644840103
90,-1703.438644840103
91,-1703.438644840103
92,-1703.438644840103
93,-1703.438644840103
94,-1735.1352717776008
95,-2023.4130106779012
96,-2009.660767335088
97,-2009.660767335088
98,-1813.6133436354314
99,-1813.6133436354314
100,-1813.6133436354314
101,-2147.1219654528304
102,-2135.0308844618125
103,-2269.310566174931
104,-2269.310566174931
105,-1378.1501649048425
106,-1519.3191167304476
107,-1720.5141439910462
108,-1720.5141439910462
109,-1720.5141439910462
110,-1720.5141439910462
111,-1720.5141439910462
112,-1720.5141439910462
113,-1759.1503713450181
114,-1836.8935016098108
115,-1836.8935016098108
116,-1835.1661467654253
117,-1953.8374797322099
118,-1776.391691765697
119,-1776.391691765697
120,-1776.391691765697
121,-1776.391691765697
122,-1776.391691765697
123,-1776.391691765697
124,-1725.4009313878685
125,-1776.391691765697
126,-1404.9170416093843
127,-1404.9170416093843
128,-1404.9170416093843
129,-1404.9170416093843
130,-1404.9170416093843
131,-1404.9170416093843
132,-1404.9170416093843
133,-1404.9170416093843
134,-1404.9170416093843
135,-1488.880579019416
136,-1488.880579019416
137,-1488.880579019416
138,-1488.880579019416
139,-1594.5413484355033
140,-1594.5413484355033
141,-1594.5413484355033
142,-2093.069241165435
143,-1707.5266117405301
144,-1626.2048612282545
145,-1312.8899669468283
146,-1312.8899669468283
147,-1323.9607223390447
148,-1633.100647244477
149,-1633.100647244477
150,-1633.100647244477
151,-1633.100647244477
152,-1633.100647244477
153,-1624.8669899452116
154,-1633.100647244477
155,-1540.3849112238977
156,-1936.1577493955099
157,-2051.8824490871634
158,-2051.8824490871634
159,-2053.0117977015557
160,-1787.186091509032
161,-1590.308202843682
162,-1590.308202843682
163,-1590.308202843682
164,-1590.308202843682
165,-1590.308202843682
166,-1590.308202843682
167,-1590.308202843682
168,-1590.308202843682
169,-1435.4541545906466
170,-1435.4541545906466
171,-1435.4541545906466
172,-1435.4541545906466
173,-1435.4541545906466
174,-1647.4193312936764
175,-1709.8156286047658
176,-1855.1752967977854
177,-1417.7667936562864
178,-1417.7667936562864
179,-1417.7667936562864
180,-1105.5425360368497
181,-1105.5425360368497
182,-1417.7667936562864
183,-1417.7667936562864
184,-1655.1950639093707
185,-1283.7805400656937
186,-1283.7805400656937
187,-1655.1950639093707
188,-1655.1950639093707
189,-1655.1950639093707
190,-1655.1950639093707
191,-1817.66018892093
192,-1817.66018892093
193,-1817.66018892093
194,-1817.66018892093
195,-1817.66018892093
196,-1832.063648537716
197,-1832.063648537716
198,-1832.063648537716
199,-1832.063648537716
200,-1444.4073303121147
201,-1444.4073303121147
202,-1444.4073303121147
203,-1444.4073303121147
204,-1444.4073303121147
205,-1444.4073303121147
206,-1418.7144097897287
207,-1418.7144097897287
208,-1418.7144097897287
209,-1444.4073303121147
210,-1444.4073303121147
211,-1444.4073303121147
212,-1444.4073303121147
213,-1444.4073303121147
214,-1444.4073303121147
215,-1267.2365944349099
216,-1267.2365944349099
217,-1267.2365944349099
218,-1267.2365944349099
219,-1444.4073303121147
220,-2075.029287169982
