fleet,headway.min,replica,line,planned.buses,headway,ewt.v,simulation.fitness,number,ewt.a,headway.max,buses,headway.observed,hcv
50.0,180.0,1,T31s,43.0,578.9800939993645,4692.844064709663,-469.0291753767418,1,98.86132595866074,1200.0,33.0,623.8653991500173,0.5323333861792556
50.0,180.0,2,T31s,43.0,578.9800939993645,8728.40460068312,-872.5911171298555,1,116.30864047748088,1200.0,33.0,608.3522079610096,0.6243112946160312
50.0,180.0,3,T31s,43.0,578.9800939993645,1678.900889897892,-167.59506446277229,1,56.99301381106825,1200.0,33.0,589.4195787669436,0.4765825715893198
50.0,180.0,4,T31s,43.0,578.9800939993645,4102.996397313511,-410.03858028186244,1,97.59469800331615,1200.0,33.0,605.3768920662243,0.5870278507449294
50.0,180.0,5,T31s,43.0,578.9800939993645,3130.266849445167,-312.75739246146793,1,86.83043089673251,1200.0,33.0,600.1904831498356,0.5710866932424102
50.0,180.0,6,T31s,43.0,578.9800939993645,2289.2397229464686,-228.64292359789798,1,78.67259082705345,1200.0,33.0,587.5001201864343,0.5553665503759557
50.0,180.0,7,T31s,43.0,578.9800939993645,8593.191586436067,-859.055323223668,1,107.83357269806677,1200.0,33.0,592.3118246841026,0.6019919014706632
50.0,180.0,8,T31s,43.0,578.9800939993645,2645.5271326535994,-264.28079303294436,1,84.09038705850494,1200.0,33.0,596.8627472187661,0.5735175962773904
50.0,180.0,9,T31s,43.0,578.9800939993645,7147.223515911071,-714.4479409144263,1,87.15587872045586,1200.0,33.0,590.8445790414034,0.5737958373628792
50.0,180.0,10,T31s,43.0,578.9800939993645,8361.734564036626,-835.9065598693587,1,96.18536810991172,1200.0,33.0,595.6133522608511,0.5907873559949858
50.0,180.0,1,T31s,43.0,659.5743911150171,2213.622979540376,-220.97209462264132,2,81.8626167909911,1200.0,3.0,677.2544411075556,0.5099863115907339
50.0,180.0,2,T31s,43.0,659.5743911150171,1419.36127264899,-141.56122914500756,2,75.43387882206903,1200.0,3.0,700.8048306370883,0.5459358500877807
50.0,180.0,3,T31s,43.0,659.5743911150171,5196.325548036752,-519.2490001717051,2,84.33784302737482,1200.0,3.0,681.8831702588211,0.5409947331963751
50.0,180.0,4,T31s,43.0,659.5743911150171,3804.8184693790363,-380.100738368585,2,93.91992236779832,1200.0,3.0,673.7126131694275,0.5815771957665136
50.0,180.0,5,T31s,43.0,659.5743911150171,908.8547900364989,-90.49366024524873,2,63.97563520450395,1200.0,3.0,678.0113923022158,0.5490026594109064
50.0,180.0,6,T31s,43.0,659.5743911150171,7411.91283338498,-740.8275078766304,2,108.10653152434821,1200.0,3.0,688.9447329254905,0.6180188686401735
50.0,180.0,7,T31s,43.0,659.5743911150171,1697.0467555824785,-169.31557877003678,2,74.23527055065107,1200.0,3.0,677.286372309265,0.5462884003126778
50.0,180.0,8,T31s,43.0,659.5743911150171,3611.1472037787885,-360.7361777579496,2,94.83154063224328,1200.0,3.0,683.8484593347041,0.5445753376107259
50.0,180.0,9,T31s,43.0,659.5743911150171,8625.28477880602,-862.168714677964,2,116.02009486617743,1200.0,3.0,692.9525955234136,0.6081872541223582
50.0,180.0,10,T31s,43.0,659.5743911150171,997.2034661062919,-99.3180766559471,2,66.69189757095378,1200.0,3.0,670.7093893865888,0.4783894470407042
50.0,180.0,1,T31s,43.0,722.7094799402237,3653.549034387161,-365.12053363995454,3,93.0114728138262,1200.0,15.0,746.3370077122286,0.567072557341895
50.0,180.0,2,T31s,43.0,722.7094799402237,3430.5981293529967,-342.82146579686287,3,96.59006055651885,1200.0,15.0,747.7015897657773,0.5073435815246317
50.0,180.0,3,T31s,43.0,722.7094799402237,1889.5160425036952,-188.71425492399692,3,75.49644556817492,1200.0,15.0,755.2786554403468,0.543062777571065
50.0,180.0,4,T31s,43.0,722.7094799402237,3583.6987358569086,-358.13044337011513,3,80.78487119952217,1200.0,15.0,745.2986913701668,0.5633314711032392
50.0,180.0,5,T31s,43.0,722.7094799402237,4616.535770171358,-461.4227455718281,3,101.05906323839527,1200.0,15.0,744.6390162242851,0.5856189756888179
50.0,180.0,6,T31s,43.0,722.7094799402237,4626.252746722566,-462.3951013941333,3,108.52364727311522,1200.0,15.0,734.9182082893547,0.6244999238961062
50.0,180.0,7,T31s,43.0,722.7094799402237,5210.332206010992,-520.8036529365495,3,104.44814871417873,1200.0,15.0,745.6930636219753,0.5807595528720393
50.0,180.0,8,T31s,43.0,722.7094799402237,2711.5602938775755,-270.92054670869584,3,101.39144548505864,1200.0,15.0,740.5861845841454,0.5618388834448176
50.0,180.0,9,T31s,43.0,722.7094799402237,7060.197890125807,-705.801880013516,3,126.93989004819689,1200.0,15.0,739.3664434127446,0.6595891496045402
50.0,180.0,10,T31s,43.0,722.7094799402237,6797.872016746973,-679.5519249803889,3,97.84251399940848,1200.0,15.0,745.0168078703595,0.5496660126768547
50.0,180.0,1,T31s,43.0,295.38218993219135,4077.8651483966273,-407.3345843470489,4,80.48080719343827,1200.0,23.0,305.994199620176,0.6725235082207908
50.0,180.0,2,T31s,43.0,295.38218993219135,2983.0535675445185,-297.8537518434708,4,65.90090549117971,1200.0,23.0,306.1804770485686,0.7232832473102592
50.0,180.0,3,T31s,43.0,295.38218993219135,1886.1070093219441,-188.15387037921022,4,62.660673063368584,1200.0,23.0,305.5830748247583,0.6853417327669284
50.0,180.0,4,T31s,43.0,295.38218993219135,1963.2916305251752,-195.87435493639612,4,63.38777199829977,1200.0,23.0,305.79598061192013,0.7018900512951101
50.0,180.0,5,T31s,43.0,295.38218993219135,3655.2661773044892,-365.0846286933659,4,74.68383031031405,1200.0,23.0,308.8938977096925,0.7742042722202519
50.0,180.0,6,T31s,43.0,295.38218993219135,3470.7606347482506,-346.6292045168848,4,73.03660273652568,1200.0,23.0,306.46642437409247,0.7452750771417508
50.0,180.0,7,T31s,43.0,295.38218993219135,3236.8014532792395,-323.23672373827156,4,77.91154833070692,1200.0,23.0,309.59014448365974,0.7450241172000756
50.0,180.0,8,T31s,43.0,295.38218993219135,998.818045506349,-99.41572467093606,4,51.75586169587979,1200.0,23.0,306.4746622991819,0.6239532046427679
50.0,180.0,9,T31s,43.0,295.38218993219135,6963.530087243712,-695.9116292892853,4,89.87198441594752,1200.0,23.0,304.92785377238505,0.7530027820591618
50.0,180.0,10,T31s,43.0,295.38218993219135,1917.268737608632,-191.26798600887872,4,62.62692354619582,1200.0,23.0,304.879272185855,0.6690222566772908
50.0,180.0,1,T31s,43.0,942.3086106396482,1620.9152992545203,-162.0466429643844,5,88.75031993854697,1200.0,31.0,1010.3227007585537,0.41451267934936703
50.0,180.0,2,T31s,43.0,942.3086106396482,6537.414127733024,-653.6810604755697,5,113.86941085181584,1200.0,31.0,952.938856907285,0.5136810323082908
50.0,180.0,3,T31s,43.0,942.3086106396482,7960.562950771854,-796.0045161743622,5,108.28487194269476,1200.0,31.0,986.3126954388429,0.4217134138553753
50.0,180.0,4,T31s,43.0,942.3086106396482,2244.745597355927,-224.42011554653368,5,84.99587468566789,1200.0,31.0,991.382000451607,0.44287110110353695
50.0,180.0,5,T31s,43.0,942.3086106396482,521.9759903874501,-52.12097355321853,5,63.3546537510558,1200.0,31.0,986.6444384097204,0.3210635515554873
50.0,180.0,6,T31s,43.0,942.3086106396482,1216.7692520886967,-121.59630160699994,5,74.57103203545066,1200.0,31.0,957.8565907055831,0.41303474112099603
50.0,180.0,7,T31s,43.0,942.3086106396482,3355.913359190198,-335.53300077408335,5,106.57447494993716,1200.0,31.0,963.5162939856892,0.4959487951691485
50.0,180.0,8,T31s,43.0,942.3086106396482,3390.2665349649765,-338.9855694868755,5,99.52775349339704,1200.0,31.0,1007.7179654752275,0.43193938754269273
50.0,180.0,9,T31s,43.0,942.3086106396482,3046.030338310331,-304.5501698719964,5,95.37391096337203,1200.0,31.0,982.2383649484764,0.4778660382627533
50.0,180.0,10,T31s,43.0,942.3086106396482,1124.1649802488246,-112.34159759012778,5,78.79639635514268,1200.0,31.0,964.9680933597182,0.4143494959852641
50.0,180.0,1,T31s,43.0,572.9269681018593,13518.418880689202,-1351.4814910132045,6,115.10906621791594,1200.0,8.0,600.2688817960203,0.6186840505841661
50.0,180.0,2,T31s,43.0,572.9269681018593,3628.297521575777,-362.4452661056225,6,74.83011260907625,1200.0,8.0,595.8323676871219,0.5381544087038403
50.0,180.0,3,T31s,43.0,572.9269681018593,3330.368140771193,-332.66481902352876,6,96.00578055315972,1200.0,8.0,596.5634454178681,0.5881783752976312
50.0,180.0,4,T31s,43.0,572.9269681018593,1694.9089578252406,-169.1027453857887,6,67.30400634994118,1200.0,8.0,595.7211028189702,0.527252480990941
50.0,180.0,5,T31s,43.0,572.9269681018593,1784.0339557785996,-178.00757007731963,6,58.284267673324926,1200.0,8.0,600.2428536031383,0.4539687045052771
50.0,180.0,6,T31s,43.0,572.9269681018593,17763.095382750154,-1775.9697036193904,6,163.97881611539466,1200.0,8.0,592.3744761368598,0.7078465655145914
50.0,180.0,7,T31s,43.0,572.9269681018593,806.4629622591881,-80.2665202908802,6,58.24874809674751,1200.0,8.0,605.8770620947896,0.5814403552190115
50.0,180.0,8,T31s,43.0,572.9269681018593,6797.140321779114,-679.340739552318,6,101.22790220668472,1200.0,8.0,591.436736893246,0.5879526920587471
50.0,180.0,9,T31s,43.0,572.9269681018593,2884.951214870099,-288.09764404397816,6,66.90507241544327,1200.0,8.0,588.7939465415473,0.47605977591071963
50.0,180.0,10,T31s,43.0,572.9269681018593,1417.7909300012889,-141.39060984737745,6,66.60330716665838,1200.0,8.0,590.8618587429519,0.5548443734569432
50.0,180.0,1,T31s,43.0,816.0040679765775,12204.157068086493,-1220.2555127344942,7,137.20055817750833,1200.0,16.0,834.5580305589797,0.5855089235933425
50.0,180.0,2,T31s,43.0,816.0040679765775,1506.5529352510998,-150.456286318419,7,75.82145550932289,1200.0,16.0,825.4781041883177,0.45538593872360056
50.0,180.0,3,T31s,43.0,816.0040679765775,2568.4838933739206,-256.6634861013728,7,87.05398395063355,1200.0,16.0,832.1454490231885,0.5197642084707471
50.0,180.0,4,T31s,43.0,816.0040679765775,1823.51701853236,-182.1795616937812,7,79.13759314272654,1200.0,16.0,869.7520356082016,0.4525677282690485
50.0,180.0,5,T31s,43.0,816.0040679765775,2241.632270914839,-224.00229850882602,7,92.16393887423891,1200.0,16.0,871.8374684310387,0.5089950919004409
50.0,180.0,6,T31s,43.0,816.0040679765775,25682.330503069024,-2568.1073831939457,7,205.97415856127583,1200.0,16.0,834.6901161073353,0.70075622715392
50.0,180.0,7,T31s,43.0,816.0040679765775,2389.4524391590667,-238.74803449992078,7,74.58478975746826,1200.0,16.0,836.1309362417321,0.41482234698629417
50.0,180.0,8,T31s,43.0,816.0040679765775,1760.78214375611,-175.89015523891123,7,78.24548613047436,1200.0,16.0,835.2093544179048,0.4995438881561313
50.0,180.0,9,T31s,43.0,816.0040679765775,9288.28813160857,-928.675983064412,7,135.84284380169538,1200.0,16.0,847.4133447142722,0.5880549202529207
50.0,180.0,10,T31s,43.0,816.0040679765775,3199.2902500282817,-319.75870584926395,7,97.8085447120396,1200.0,16.0,841.1782386949687,0.5766224402568586
