fleet,headway.min,ewt.a,headway.max,buses,line,planned.buses,headway.observed,headway,hcv,ewt.v,simulation.fitness
20.0,3.0,1.5999106316549998,20.0,6.0,T31n,3.0,15.166937979504429,14.166937979504429,0.3173466104959408,1.4768338041243618,0.31689936360481713
15.0,1.0,1.8931468093414359,20.0,6.0,T31s,4.0,6.427359267218402,6.082531681011504,0.4553184901762671,3.1984151557817797,0.7549180320785313
20.0,3.0,1.082756865207294,20.0,18.0,T31n,3.0,18.053646428669182,16.85364642866918,0.3559194037281877,0.02210605648582266,-0.052548355730381024
15.0,1.0,1.0015614538462332,20.0,1.0,T31s,4.0,13.176798537445551,12.443465204112218,0.3187248575269576,0.288319626131354,0.34051773915904704
20.0,3.0,1.289924659288268,20.0,5.0,T31n,3.0,8.599356775021365,8.218404394068983,0.4707792999941114,1.1361830719597539,0.5369477206453417
15.0,1.0,0.8820865974279288,20.0,15.0,T31s,4.0,8.898158645986337,8.46958721741491,0.2985480988203012,0.19359927572581073,0.18215746931701038
20.0,3.0,1.4271091900920188,20.0,16.0,T31n,3.0,15.191069835406402,14.60773650207307,0.3302857561519753,0.40347732683755044,0.12512488178197478
15.0,1.0,1.2832773059288132,20.0,15.0,T31s,4.0,19.65095701281274,18.428734790590518,0.1702619359012693,0.35214795761352247,-0.16240214664539415
20.0,3.0,1.3587810527035749,20.0,18.0,T31n,3.0,19.741095996194865,18.074429329528197,0.17909511744506065,0.3064115298689067,-0.10687776433004081
15.0,1.0,1.2408263002349043,20.0,4.0,T31s,4.0,16.23518628505216,14.871549921415792,0.25436818917410253,0.7948052331886019,0.19898967038781998
20.0,3.0,1.5394384502831473,20.0,13.0,T31n,3.0,16.86780062503858,16.231436988674943,0.4414790667842314,1.614653666894689,0.2446643927437292
15.0,1.0,1.00581033500512,20.0,12.0,T31s,4.0,10.398106996886689,9.924422786360372,0.29094093735868837,0.6652308408363627,0.30178400928960675
20.0,3.0,1.3444384462655237,20.0,4.0,T31n,3.0,12.975432104561586,12.046860675990155,0.41936923586893904,0.3005150174794572,0.2929848738060325
15.0,1.0,1.105717634062414,20.0,10.0,T31s,4.0,13.082740978501366,12.282740978501366,0.26978045292421077,0.0010940492764605176,0.19095605671351168
20.0,3.0,2.007384397496657,20.0,16.0,T31n,3.0,14.384857654007854,13.307934577084772,0.5024709247003529,2.2809553498595694,0.34694024436969395
15.0,1.0,1.3210312819016945,20.0,12.0,T31s,4.0,14.397471837800659,13.320548760877578,0.25435032870488283,0.8143384137811108,0.18043555496243358
20.0,3.0,1.2985094983228227,20.0,3.0,T31n,3.0,21.123261737150756,19.678817292706313,0.19819945176034204,0.3627113469073698,0.030120889900314723
15.0,1.0,0.9878867383516656,20.0,8.0,T31s,4.0,10.521509598076992,9.799287375854773,0.34904127470173946,0.1576048982760148,0.32061080261361274
20.0,3.0,2.282124167717705,20.0,12.0,T31n,3.0,21.223005552274344,19.334116663385455,0.21777350039182952,2.769804670900159,0.22343896495742166
15.0,1.0,0.8821802972644919,20.0,4.0,T31s,4.0,11.03467402958081,10.505262264874927,0.3912551068961642,0.08253173640639865,0.31285063534557245
20.0,3.0,1.6283085079700745,20.0,7.0,T31n,3.0,17.114015407410147,16.204924498319237,0.30074368201027046,1.320177529896454,0.22877889797918072
15.0,1.0,1.4297446811964294,20.0,11.0,T31s,4.0,17.354148953099912,15.89960349855446,0.19855092978763472,0.029375338724525295,0.026210728840178804
20.0,3.0,1.3252824412288722,20.0,13.0,T31n,3.0,10.169088500355066,9.224644055910623,0.4272759451911655,1.3269955124522144,0.45518651913362
15.0,1.0,1.161368321501846,20.0,8.0,T31s,4.0,4.751150777983182,2.8459077087184665,0.75304654131983,0.6315810303689978,0.5871611682983631
20.0,3.0,0.47989392628221517,20.0,10.0,T31n,3.0,8.326427124663299,7.761209733358949,0.42850063832203694,0.011617630399572703,0.4324594473457806
15.0,1.0,4.935093218132925,20.0,9.0,T31s,4.0,3.2869714163006276,1.2880714055636775,1.022117561224295,17.853999318012256,2.297906803550016
20.0,3.0,1.4010016037680035,20.0,15.0,T31n,3.0,18.385548469128455,17.38554846912846,0.22644589612994145,0.25114028740834415,0.0063752431995199865
15.0,1.0,1.1570531616066493,20.0,15.0,T31s,4.0,9.055579304786484,8.674626923834102,0.38646449107531533,0.785060816527706,0.23962475264017497
20.0,3.0,1.231695265744911,20.0,14.0,T31n,3.0,16.426063472245193,15.062427108608833,0.26574542705081994,0.4726934974942221,0.1211661430347176
15.0,1.0,1.3267028904731824,20.0,10.0,T31s,4.0,16.655070859028857,15.655070859028859,0.28162088288448883,0.7386044858274794,0.14866102095661055
20.0,3.0,1.4361253593635848,20.0,5.0,T31n,3.0,16.287887985199806,14.833342530654354,0.2974520747053388,1.035040681185462,0.2352168199724075
15.0,1.0,0.859149569771815,20.0,7.0,T31s,4.0,8.336259430656826,7.857998561091611,0.41612519251531055,0.09863381386166588,0.39856445887559827
20.0,3.0,0.7606024161689369,20.0,19.0,T31n,3.0,7.486831306566683,7.140677460412838,0.5193191010910477,0.13537273140080427,0.3251570843337726
15.0,1.0,1.2599444028261173,20.0,7.0,T31s,4.0,9.726576804692149,9.3055241731132,0.28117531901257015,1.399676117569399,0.4632530460549487
20.0,3.0,1.838785276530271,20.0,17.0,T31n,3.0,18.627004213722298,16.96033754705563,0.22135097937972315,1.4006992552667181,0.06218434934876568
